378,692,4
406,210,5
435,659,4
498,474,4
547,321,4
59,274,1
99,475,5
255,827,2
264,194,5
94,792,4
130,1276,4
276,890,3
307,89,5
615,23,5
727,38,1
823,747,4
901,393,5
708,685,3
695,323,2
761,1272,1
886,92,3
1,165,5
3,351,3
48,522,2
167,184,1
868,946,1
20,94,2
71,282,3
201,268,4
508,121,2
562,82,5
666,436,3
784,751,4
864,642,3
650,212,3
637,225,3
750,288,4
826,195,5
897,201,5
345,566,3
374,1134,4
460,151,3
543,720,2
332,934,2
405,792,5
523,509,4
491,286,4
15,308,5
64,679,3
184,241,3
243,246,4
45,237,4
83,249,2
224,686,4
239,45,5
756,95,3
844,423,3
7,28,5
56,393,4
840,638,3
913,260,1
43,550,3
94,223,5
458,209,4
543,1159,5
643,325,2
626,678,1
532,1312,4
505,604,5
629,195,4
698,489,3
224,846,4
276,1079,2
334,753,4
401,663,1
239,1332,3
308,629,4
416,97,5
445,1528,2
827,268,4
896,1028,2
60,496,4
97,603,4
897,202,2
938,122,1
110,468,3
152,527,4
201,317,3
230,28,5
347,137,2
354,464,4
226,813,4
269,445,3
366,671,5
387,10,4
845,896,3
911,484,3
56,408,4
92,71,5
916,276,4
871,286,3
14,211,4
158,208,5
543,234,4
577,1219,3
567,357,2
704,632,3
763,819,2
566,23,4
660,603,4
731,133,1
846,289,4
907,485,5
343,961,4
373,423,2
457,276,4
541,755,5
370,678,4
393,7,4
542,237,4
581,283,2
569,13,3
395,288,2
417,161,3
587,333,4
569,405,3
422,926,2
451,749,3
566,96,3
660,257,4
116,888,2
181,287,2
309,331,5
342,1315,1
181,1312,1
210,447,5
297,211,4
377,1105,3
793,118,2
746,208,4
872,1047,4
13,709,4
747,949,5
803,286,5
13,328,3
59,187,5
433,326,2
456,168,4
552,1620,3
668,271,4
454,694,2
537,109,1
671,654,3
716,168,5
773,652,3
860,890,2
865,1240,5
23,652,4
74,258,4
806,483,4
885,216,3
76,385,2
115,117,4
452,132,2
493,196,4
659,174,4
710,198,4
484,79,5
603,100,4
711,167,2
800,405,4
746,64,4
279,180,2
313,143,3
405,570,1
431,879,3
313,245,3
348,472,4
434,7,1
456,658,3
486,289,3
932,600,2
37,226,5
173,1265,3
221,1073,4
30,539,3
83,929,3
221,227,3
276,51,3
932,967,4
25,177,3
152,162,5
193,182,4
21,444,3
87,216,5
194,44,4
234,1133,3
561,702,3
664,222,3
705,226,3
837,1009,5
919,223,4
707,387,4
786,449,2
924,511,5
881,620,2
11,120,2
416,264,3
447,845,3
493,12,3
603,22,4
392,538,2
466,334,3
593,174,4
653,291,4
82,208,3
144,962,4
276,974,2
308,213,4
138,484,4
177,307,4
308,519,4
342,68,3
397,12,4
417,16,3
587,876,2
569,50,5
622,50,5
514,243,2
491,657,5
622,934,2
735,242,5
191,343,3
213,175,4
304,237,5
330,584,3
216,1,4
279,81,4
330,117,5
405,790,1
763,13,3
846,181,5
907,713,5
56,98,4
92,660,4
907,83,5
868,265,3
92,554,2
160,137,4
524,89,5
504,401,2
624,687,2
724,332,4
504,676,4
548,298,4
724,882,1
773,204,3
858,307,3
516,194,4
496,496,1
659,79,4
711,161,4
495,404,4
601,100,4
650,507,4
787,904,3
750,328,4
239,174,4
309,333,3
358,59,4
390,742,4
470,93,4
297,69,3
377,200,5
475,316,5
521,183,3
887,969,5
2,297,4
123,132,3
189,30,4
1,47,4
43,291,3
164,458,4
219,568,1
508,144,3
561,515,3
683,312,3
780,433,1
561,596,2
663,174,5
777,1079,2
833,298,5
921,128,1
62,774,1
90,237,4
244,154,5
286,475,4
90,730,5
145,727,2
286,235,4
295,94,4
621,108,3
733,294,2
846,640,1
910,100,4
734,705,4
795,79,2
854,664,4
871,346,3
13,64,5
416,301,5
447,294,4
483,229,3
593,25,3
445,752,1
461,302,3
599,846,5
651,515,5
611,906,2
113,286,4
181,457,1
271,405,2
301,7,4
181,1051,2
210,179,3
301,1283,4
332,841,4
104,871,2
185,205,3
271,47,3
297,265,3
178,197,2
254,588,3
349,455,2
363,506,2
796,145,2
854,288,5
868,998,2
23,705,4
837,1047,1
916,265,4
42,468,4
94,286,4
419,494,3
527,511,5
574,258,5
623,211,3
727,358,2
505,187,1
565,1018,5
698,1020,2
764,371,3
255,294,2
269,55,4
363,651,3
385,965,4
308,1211,3
343,169,5
446,332,3
457,237,4
538,258,3
705,173,2
794,473,4
916,198,4
870,724,4
777,157,3
838,70,4
916,498,3
43,208,5
92,268,4
421,915,4
514,568,4
572,1010,2
623,66,4
532,191,5
579,4,2
629,660,5
703,147,3
743,289,3
254,465,3
269,81,3
363,32,2
385,1103,3
306,269,5
339,449,3
437,435,3
454,434,3
919,85,2
875,171,5
94,1045,4
159,866,5
932,560,2
34,242,5
169,301,4
217,121,1
279,17,4
746,232,3
807,418,4
13,215,5
65,64,5
918,196,3
879,118,3
81,1047,3
130,4,2
450,583,4
488,258,4
666,924,2
705,215,2
503,183,5
551,258,4
665,196,4
782,1611,3
833,1012,4
279,1490,4
314,1136,5
405,1405,1
433,457,1
292,320,5
334,340,3
417,78,2
528,50,5
899,748,4
932,204,4
109,441,2
174,69,5
7,435,5
62,227,1
181,405,4
247,1022,4
407,67,1
425,180,4
506,399,5
566,191,4
471,596,1
533,28,4
653,198,4
639,51,2
125,88,5
188,485,3
271,866,4
297,300,3
378,66,3
230,570,4
345,121,3
366,218,3
788,56,3
747,1050,3
880,63,3
13,50,5
72,7,1
918,1265,1
880,17,3
82,414,4
130,682,4
453,780,3
485,748,2
669,664,4
719,318,5
786,197,3
