378,692,4
406,210,5
435,659,4
498,474,4
547,321,4
59,274,1
99,475,5
255,827,2
264,194,5
94,792,4
130,1276,4
276,890,3
307,89,5
615,23,5
727,38,1
823,747,4
901,393,5
708,685,3
695,323,2
761,1272,1
886,92,3
1,165,5
3,351,3
48,522,2
167,184,1
868,946,1
20,94,2
71,282,3
201,268,4
508,121,2
562,82,5
666,436,3
784,751,4
864,642,3
650,212,3
637,225,3
750,288,4
826,195,5
897,201,5
345,566,3
374,1134,4
460,151,3
543,720,2
332,934,2
405,792,5
523,509,4
491,286,4
15,308,5
64,679,3
184,241,3
